account_name,statement_type
Créditos perante clientes,BPA
Créditos por venda de participação acionária,BPA
Créditos tributários,BPA
Créditos tributários e previdenciários,BPA
Custo de Comercialização Diferidos,BPA
Custodia de Bitcoin,BPA
Custos Antecipados,BPA
Custos de Aquisição Diferidos - Seguros,BPA
Custos de aquisição diferidos,BPA
Custos diferidos,BPA
Debêntures,BPA
Debêntures Privadas Partes Relacionadas,BPA
Debêntures a receber - Partes Relacionadas,BPA
Debêntures de Instituições Financeiras,BPA
Debêntures e outros Investimentos,BPA
Demais Ativos,BPA
Demais Ativos Intangíveis,BPA
Demais Contas,BPA
Demais Contas a Receber,BPA
Demais Contas a Receber e Outros,BPA
Demais Créditos,BPA
Demais Créditos a Receber,BPA
Demais Impostos a Recuperar,BPA
Demais Impostos e Contribuições a Recuperar,BPA
Demais Tributos Correntes a Recuperar,BPA
Demais Tributos a Recuperar,BPA
Demais ativos,BPA
Demais ativos intangíveis,BPA
Demais contas a receber,BPA
Demais contas a receber e outros,BPA
Demais créditos,BPA
Demais impostos a recuperar,BPA
Demais intangíveis,BPA
Demais tributos a compensar,BPA
Demais tributos a recuperar,BPA
Dependências no Exterior,BPA
Deposito Judicial,BPA
Deposito de AFRM em conta vinculada,BPA
Deposito judiciais,BPA
Deposito judicial,BPA
Depositos Compulsórios no Banco Central,BPA
Depositos Judiciais,BPA
Depositos Judiciais (Nota 16.c),BPA
Depositos Judiciais e Emprestimos Compulsorios,BPA
Depositos Judiciais e Fiscais,BPA
Depositos judiciais,BPA
Depositos para Recursos,BPA
Depreciação Acumulada,BPA
Depósito Compulsório Banco Central,BPA
Depósito Garantia,BPA
Depósito Judiciais,BPA
Depósito Judicial,BPA
Depósito bancário vinculado,BPA
Depósito caução e ajustes de contratos futuros,BPA
Depósito e Cauções,BPA
Depósito em Garantia,BPA
Depósito em garantia e reservas para manutenção,BPA
Depósito judiciais,BPA
Depósito judicial,BPA
Depósito juducial,BPA
Depósito para Aquisição de Imóvel,BPA
Depósitos,BPA
Depósitos  e cauções vinculados,BPA
Depósitos Bancários,BPA
Depósitos Bancários de Curto Prazo,BPA
Depósitos Cauções,BPA
